trigger,regime,n,avg_5d,win_5d,p25_5d,p75_5d,avg_10d,win_10d,p25_10d,p75_10d,avg_20d,win_20d,p25_20d,p75_20d
B1,ALL,5593,0.84,50.4,-3.48,4.24,2.29,55.7,-3.91,6.95,5.16,58.1,-4.75,12.34
B1,強勢多頭,1018,1.32,52.0,-4.34,5.79,3.07,55.9,-4.83,8.86,7.13,58.7,-5.01,16.68
B1,多頭,2094,0.78,50.0,-3.63,4.46,2.05,53.8,-4.33,7.0,5.4,58.6,-5.08,13.19
B1,盤整,1837,0.64,49.9,-2.88,3.55,2.1,57.1,-2.96,5.95,3.87,57.6,-4.35,9.9
B1,空頭,284,0.99,51.1,-3.23,4.96,3.16,62.3,-3.63,7.96,6.94,63.4,-2.9,13.78
B1,高檔轉折,62,1.58,53.2,-3.19,6.18,2.46,53.2,-4.67,8.15,4.56,46.8,-9.19,13.12
B1,底部轉強,298,0.53,50.3,-3.65,3.32,1.61,53.7,-3.8,6.6,3.23,52.3,-5.15,10.73
B2,ALL,3819,0.93,51.0,-3.78,4.77,2.65,56.7,-4.18,7.77,6.15,59.6,-4.85,14.33
B2,強勢多頭,820,1.35,52.7,-4.59,6.14,3.23,56.8,-4.97,9.59,7.75,59.3,-5.06,18.69
B2,多頭,1518,0.85,50.7,-4.07,4.91,2.4,54.6,-4.64,7.98,6.21,59.6,-5.49,15.53
B2,盤整,1121,0.82,51.1,-2.98,3.9,2.56,58.9,-2.75,6.48,4.81,59.4,-3.93,11.35
B2,空頭,141,1.38,46.8,-3.93,6.52,3.83,62.4,-4.0,8.57,9.3,66.7,-2.63,18.68
B2,高檔轉折,52,-0.33,46.2,-5.05,4.27,1.32,44.2,-6.36,5.75,2.66,44.2,-9.61,11.15
B2,底部轉強,167,0.43,49.1,-4.34,2.98,2.23,58.7,-3.03,7.08,5.24,61.7,-3.72,13.53
B3,ALL,13810,0.87,51.4,-2.62,3.37,1.91,54.1,-3.21,5.32,4.11,56.9,-4.04,8.81
B3,強勢多頭,2276,1.16,52.7,-3.06,4.11,2.36,54.8,-3.71,6.33,5.36,58.0,-3.81,10.82
B3,多頭,7162,0.83,51.9,-2.48,3.26,1.84,54.6,-3.0,5.09,4.07,57.4,-4.03,9.08
B3,盤整,3141,0.74,50.1,-2.38,2.92,1.74,53.3,-3.1,5.01,3.21,55.6,-3.96,7.61
B3,空頭,209,1.02,52.2,-3.81,3.34,1.77,50.2,-5.13,4.92,5.72,60.8,-3.29,8.93
B3,高檔轉折,755,1.29,53.2,-3.04,4.18,2.5,56.0,-3.53,7.14,4.93,56.7,-4.47,10.52
B3,底部轉強,267,-0.38,39.3,-3.85,1.8,0.21,43.1,-4.87,4.0,1.27,47.2,-6.3,5.28
B4,ALL,2849,0.7,47.8,-3.42,3.54,1.94,52.0,-3.95,5.57,4.27,54.3,-4.83,8.97
B4,強勢多頭,737,1.27,50.7,-3.74,4.71,2.49,53.9,-4.0,6.87,5.88,57.3,-4.27,11.42
B4,多頭,1167,0.48,48.2,-3.17,3.31,1.75,53.0,-3.86,5.01,3.63,54.2,-4.89,8.3
B4,盤整,564,0.49,44.5,-3.33,2.97,2.17,50.5,-3.52,5.22,4.16,52.7,-5.0,8.69
B4,空頭,51,1.77,49.0,-3.23,5.89,2.67,56.9,-4.28,7.34,6.48,64.7,-2.44,12.33
B4,高檔轉折,223,0.7,48.4,-3.33,3.55,1.09,47.1,-4.66,4.48,3.24,50.7,-5.72,7.73
B4,底部轉強,107,-0.3,38.3,-4.45,2.09,0.53,44.9,-5.13,4.63,1.94,44.9,-6.85,6.89
B5,ALL,657,1.14,50.5,-4.02,4.99,2.67,53.7,-4.28,7.96,6.24,58.0,-5.18,14.57
B5,強勢多頭,201,2.49,56.2,-4.02,7.89,3.81,58.7,-4.25,10.12,8.44,59.2,-3.82,19.15
B5,多頭,213,0.37,47.4,-3.98,3.96,1.58,50.7,-5.14,7.55,4.25,54.0,-6.13,11.5
B5,盤整,140,0.66,49.3,-4.39,3.28,2.87,48.6,-4.09,6.59,6.32,60.0,-4.8,12.54
B5,空頭,25,2.24,52.0,-2.59,7.53,3.31,60.0,-4.11,8.45,8.8,72.0,-0.97,18.68
B5,底部轉強,78,0.3,46.2,-4.21,2.99,2.11,56.4,-4.15,7.37,5.07,57.7,-6.91,16.93
B6,ALL,15009,0.71,51.5,-2.19,2.79,1.65,55.0,-2.69,4.55,3.52,57.3,-3.33,7.41
B6,強勢多頭,2290,1.1,52.6,-2.65,3.78,2.21,54.8,-3.52,5.8,5.01,57.8,-3.49,9.41
B6,多頭,7560,0.68,51.5,-2.09,2.64,1.58,54.9,-2.51,4.28,3.45,57.3,-3.28,7.41
B6,盤整,3692,0.51,50.9,-2.08,2.45,1.44,55.3,-2.62,4.38,2.7,56.8,-3.31,6.55
B6,空頭,242,0.54,49.6,-3.23,3.31,1.44,52.9,-4.11,3.79,4.5,62.4,-2.91,7.98
B6,高檔轉折,934,1.09,54.6,-1.87,3.56,2.04,56.7,-2.34,5.11,4.04,59.2,-2.99,7.52
B6,底部轉強,291,-0.17,43.3,-3.48,2.46,0.47,48.8,-4.12,4.0,1.44,49.5,-6.47,6.87
