trigger,regime,n,avg_5d,win_5d,p25_5d,p75_5d,avg_10d,win_10d,p25_10d,p75_10d,avg_20d,win_20d,p25_20d,p75_20d,correct_sell_pct,rebuy_pct,full_miss_pct,avg_rebuy_cost_pct,avg_rebuy_days
S1,ALL,4625,1.14,43.7,-2.88,4.76,2.55,41.3,-3.54,7.65,4.88,39.6,-4.2,11.3,57.7,36.5,5.8,8.35,7.3
S1,強勢多頭,73,1.61,50.7,-3.09,4.85,4.25,43.8,-2.57,11.84,8.67,30.1,-2.07,15.74,,,,,
S1,多頭,855,1.19,46.1,-3.42,4.92,2.78,42.7,-4.17,8.19,5.12,41.3,-5.19,12.3,,,,,
S1,盤整,2022,0.98,42.3,-2.53,4.37,2.1,41.4,-3.11,6.73,3.92,40.9,-3.87,10.02,,,,,
S1,空頭,925,1.27,44.1,-2.9,5.9,2.7,41.9,-4.0,7.92,5.28,37.8,-4.8,12.26,,,,,
S1,高檔轉折,718,1.26,44.0,-3.16,4.18,3.2,38.4,-3.83,8.65,6.4,37.9,-3.9,13.39,,,,,
S1,底部轉強,32,1.91,37.5,-2.41,6.28,2.51,37.5,-3.31,7.84,4.27,31.2,-1.95,9.38,,,,,
S2,ALL,1994,2.24,39.3,-2.57,7.1,3.77,38.7,-3.23,9.92,6.71,35.2,-3.24,13.92,51.2,38.8,10.0,10.18,7.6
S2,強勢多頭,27,1.78,51.9,-4.13,5.2,5.49,44.4,-2.82,15.07,11.0,25.9,-0.0,19.33,,,,,
S2,多頭,352,2.5,39.5,-2.57,6.29,4.43,40.3,-3.14,10.06,6.92,36.4,-3.78,15.02,,,,,
S2,盤整,803,2.14,37.9,-2.23,6.66,3.43,38.2,-2.68,9.24,5.4,37.4,-3.22,12.38,,,,,
S2,空頭,451,2.75,37.9,-2.43,9.15,4.17,37.7,-3.69,10.44,8.44,29.3,-1.5,15.56,,,,,
S2,高檔轉折,348,1.57,43.4,-3.28,4.78,3.24,39.1,-4.43,9.52,6.95,37.9,-5.38,14.16,,,,,
S2,底部轉強,13,3.33,30.8,-1.4,6.94,3.35,30.8,-1.68,7.56,6.69,23.1,3.26,9.26,,,,,
