symbol,name,sector,variant,total_return_pct,annualized_pct,max_drawdown_pct,win_rate,total_trades,win_trades,avg_hold_days,bnh_return_pct,final_capital
2330.TW,台積電,半導體,baseline,42.87,8.09,19.95,53.8,13,7,26.4,334.3,1428711
2330.TW,台積電,半導體,A_volume,41.67,7.89,18.21,66.7,9,6,19.8,334.3,1416747
2330.TW,台積電,半導體,B_close_confirm,45.3,8.49,9.42,62.5,8,5,14.8,334.3,1453014
2330.TW,台積電,半導體,C_kbar,34.22,6.63,24.22,66.7,9,6,25.0,334.3,1342199
2330.TW,台積電,半導體,A+C,38.36,7.34,18.21,71.4,7,5,22.3,334.3,1383599
2330.TW,台積電,半導體,B+C,15.44,3.18,18.21,66.7,6,4,17.0,334.3,1154405
2454.TW,聯發科,半導體,baseline,10.97,2.29,48.95,40.9,22,9,20.8,516.74,1109660
2454.TW,聯發科,半導體,A_volume,53.36,9.77,38.07,44.4,18,8,21.1,516.74,1533592
2454.TW,聯發科,半導體,B_close_confirm,29.71,5.84,37.22,43.8,16,7,21.3,516.74,1297111
2454.TW,聯發科,半導體,C_kbar,29.12,5.73,39.76,50.0,16,8,21.0,516.74,1291189
2454.TW,聯發科,半導體,A+C,40.75,7.74,34.35,50.0,14,7,20.9,516.74,1407457
2454.TW,聯發科,半導體,B+C,57.19,10.36,29.1,58.3,12,7,20.8,516.74,1571854
2317.TW,鴻海,半導體,baseline,118.07,18.53,33.08,66.7,15,10,40.2,207.24,2180653
2317.TW,鴻海,半導體,A_volume,117.91,18.51,19.81,66.7,12,8,43.2,207.24,2179072
2317.TW,鴻海,半導體,B_close_confirm,74.95,12.97,16.27,60.0,10,6,45.0,207.24,1749453
2317.TW,鴻海,半導體,C_kbar,69.83,12.24,28.58,61.5,13,8,39.3,207.24,1698308
2317.TW,鴻海,半導體,A+C,107.2,17.22,19.81,63.6,11,7,46.1,207.24,2072015
2317.TW,鴻海,半導體,B+C,74.95,12.97,16.27,60.0,10,6,45.0,207.24,1749453
2357.TW,華碩,電子代工,baseline,-18.11,-4.26,42.34,42.3,26,11,18.3,230.66,818889
2357.TW,華碩,電子代工,A_volume,-16.36,-3.82,36.72,39.1,23,9,17.4,230.66,836417
2357.TW,華碩,電子代工,B_close_confirm,-23.9,-5.78,39.16,41.2,17,7,16.1,230.66,761014
2357.TW,華碩,電子代工,C_kbar,6.49,1.38,31.63,47.1,17,8,19.5,230.66,1064920
2357.TW,華碩,電子代工,A+C,2.92,0.63,31.63,43.8,16,7,18.9,230.66,1029214
2357.TW,華碩,電子代工,B+C,-4.62,-1.03,32.03,46.2,13,6,17.8,230.66,953810
2382.TW,廣達,電子代工,baseline,78.73,13.5,41.19,42.3,26,11,22.5,521.84,1787281
2382.TW,廣達,電子代工,A_volume,146.06,21.69,34.93,52.4,21,11,25.6,521.84,2460649
2382.TW,廣達,電子代工,B_close_confirm,94.98,15.67,38.14,56.2,16,9,25.4,521.84,1949802
2382.TW,廣達,電子代工,C_kbar,73.47,12.76,38.33,50.0,18,9,23.9,521.84,1734712
2382.TW,廣達,電子代工,A+C,99.47,16.25,34.93,56.2,16,9,25.1,521.84,1994735
2382.TW,廣達,電子代工,B+C,54.86,10.01,34.93,57.1,14,8,24.4,521.84,1548590
2383.TW,台光電,電子代工,baseline,341.84,38.26,32.79,57.7,26,15,14.1,2280.69,4418385
2383.TW,台光電,電子代工,A_volume,107.35,17.24,35.33,50.0,18,9,13.1,2280.69,2073459
2383.TW,台光電,電子代工,B_close_confirm,90.14,15.04,29.14,61.5,13,8,15.3,2280.69,1901418
2383.TW,台光電,電子代工,C_kbar,135.18,20.5,33.89,61.5,13,8,20.3,2280.69,2351833
2383.TW,台光電,電子代工,A+C,94.94,15.67,27.24,60.0,10,6,14.2,2280.69,1949379
2383.TW,台光電,電子代工,B+C,63.84,11.37,27.24,62.5,8,5,15.1,2280.69,1638450
2882.TW,國泰金,金融,baseline,36.25,6.98,27.63,50.0,14,7,45.9,109.87,1362470
2882.TW,國泰金,金融,A_volume,36.71,7.06,22.73,50.0,12,6,51.0,109.87,1367063
2882.TW,國泰金,金融,B_close_confirm,2.48,0.54,22.61,40.0,10,4,43.6,109.87,1024798
2882.TW,國泰金,金融,C_kbar,13.15,2.73,27.86,50.0,14,7,41.1,109.87,1131483
2882.TW,國泰金,金融,A+C,14.5,3.0,22.96,50.0,12,6,46.2,109.87,1144970
2882.TW,國泰金,金融,B+C,1.37,0.3,23.45,40.0,10,4,42.3,109.87,1013670
2881.TW,富邦金,金融,baseline,5.09,1.09,30.21,47.1,17,8,32.1,126.26,1050950
2881.TW,富邦金,金融,A_volume,39.14,7.47,16.38,61.5,13,8,35.9,126.26,1391434
