sector,mode,symbol,entry_date,exit_date,entry_price,exit_price,pnl_pct,pnl,hold_days,exit_reason,entry_score,entry_indicators
半導體,B_技術+盤勢,6415.TW,2019-07-16,2019-07-24,154.02259826660156,149.22438049316406,-3.1152686861782093,-1579.9938958517814,8,賣出信號,52.324999999999996,"EMA Cross,Volume,ADX,Stoch RSI"
半導體,B_技術+盤勢,2344.TW,2019-07-10,2019-07-26,14.341286659240723,17.54210090637207,22.318877818880512,10275.90972161723,16,停利,68.9,"MACD,EMA Cross,Volume,ADX"
半導體,B_技術+盤勢,2344.TW,2019-07-26,2019-08-07,17.54210090637207,16.095327377319336,-8.247435907333095,-3837.9814406066434,12,停損,60.949999999999996,"MACD,EMA Cross,Volume,ADX"
半導體,B_技術+盤勢,2330.TW,2019-07-31,2019-08-26,225.7996826171875,216.22813415527344,-4.238955675655805,-1991.6953478230353,26,賣出信號,60.273568697724755,"EMA Cross,Volume,ADX,Pullback Support"
半導體,B_技術+盤勢,2454.TW,2019-07-11,2019-09-23,224.63455200195312,270.25799560546875,20.3100739387229,8859.055832135411,74,停利,51.96606839758317,"MACD,EMA Cross,Volume,ADX"
半導體,B_技術+盤勢,2344.TW,2019-09-12,2019-10-01,16.863927841186523,16.321388244628906,-3.2171603298288596,-1559.5595380351078,19,賣出信號,58.21322582064233,"MACD,EMA Cross,Volume,ADX"
半導體,B_技術+盤勢,2454.TW,2019-09-23,2019-10-16,270.25799560546875,250.75486755371094,-7.216485124913419,-3248.6383964510023,23,賣出信號,51.35,"EMA Cross,Volume,ADX"
半導體,B_技術+盤勢,6415.TW,2019-09-02,2019-10-28,169.13697814941406,206.32313537597656,21.985823344740492,9233.39300329487,56,停利,54.05,"MACD,EMA Cross,Volume,ADX"
半導體,B_技術+盤勢,2379.TW,2019-09-26,2019-11-04,176.1322021484375,168.9662322998047,-4.068517716364896,-1841.1720085311026,39,賣出信號,53.95,"MACD,EMA Cross,Volume,ADX"
半導體,B_技術+盤勢,3711.TW,2019-07-19,2019-11-11,51.01753616333008,58.65214920043945,14.964683932731571,5827.454870551672,115,賣出信號,56.349999999999994,"MACD,EMA Cross,Volume,ADX"
半導體,B_技術+盤勢,2330.TW,2019-09-27,2019-11-26,238.4626007080078,269.1470947265625,12.86763372010992,4612.76135432702,60,賣出信號,55.84627403864513,"MACD,EMA Cross,Volume,ADX"
半導體,B_技術+盤勢,2303.TW,2019-07-08,2019-12-05,9.6272554397583,11.892404556274414,23.5285033277665,11419.69485027057,150,停利,54.74426618350641,"EMA Cross,Volume,ADX,Pullback Support"
半導體,B_技術+盤勢,3034.TW,2019-11-04,2019-12-20,132.6073760986328,134.8280792236328,1.6746452500110178,434.4701766678845,46,賣出信號,53.95,"MACD,EMA Cross,Volume,ADX"
半導體,B_技術+盤勢,3711.TW,2019-12-12,2020-01-06,63.61502456665039,59.17851257324219,-6.9740002831563865,-2946.4213716502854,25,賣出信號,55.18062611364055,"MACD,EMA Cross,Volume,ADX"
半導體,B_技術+盤勢,2379.TW,2019-12-11,2020-01-07,176.1322021484375,177.64085388183594,0.8565450922637096,110.31981199948495,27,賣出信號,54.28,"MACD,EMA Cross,Volume,Pullback Support"
半導體,B_技術+盤勢,6415.TW,2019-10-28,2020-01-10,206.32313537597656,259.10345458984375,25.58138674932754,10547.34784545932,74,停利,54.05,"MACD,EMA Cross,Volume,ADX"
半導體,B_技術+盤勢,2454.TW,2019-10-31,2020-01-13,284.1888427734375,293.9403991699219,3.4313649689120838,1139.9765646989545,74,賣出信號,58.84726553169612,"MACD,EMA Cross,Volume,ADX"
半導體,B_技術+盤勢,2303.TW,2019-12-05,2020-01-30,11.892404556274414,10.850472450256348,-8.76132409629762,-4249.811585832424,56,停損,68.9,"MACD,EMA Cross,Volume,ADX"
半導體,B_技術+盤勢,2330.TW,2019-12-27,2020-01-30,298.4908752441406,279.50396728515625,-6.360967632077418,-2712.5400970686387,34,賣出信號,51.35,"EMA Cross,Volume,ADX"
半導體,B_技術+盤勢,2344.TW,2019-12-05,2020-01-31,16.90913963317871,15.32673454284668,-9.358282707814853,-4294.794687979549,57,停損,50.44399914663178,"MACD,EMA Cross,Volume,ADX"
半導體,B_技術+盤勢,6415.TW,2020-01-10,2020-02-10,259.10345458984375,259.10345458984375,0.0,-256.1029070874574,31,賣出信號,62.675,"MACD,EMA Cross,Volume,ADX"
半導體,B_技術+盤勢,2379.TW,2020-01-17,2020-02-24,197.63015747070312,180.28094482421875,-8.778626131012539,-4071.139773031209,38,停損,59.15,"MACD,EMA Cross,Volume,ADX"
半導體,B_技術+盤勢,6415.TW,2020-04-17,2020-05-15,287.8927307128906,352.6686096191406,22.500005035156523,9629.190068280928,28,停利,52.324999999999996,"MACD,EMA Cross,Volume,ADX"
半導體,B_技術+盤勢,2303.TW,2020-04-07,2020-06-08,10.167826652526855,12.251690864562988,20.49468665477555,10205.500844886032,62,停利,56.9,"MACD,Volume,ADX"
半導體,B_技術+盤勢,2454.TW,2020-04-30,2020-06-10,289.0646057128906,348.2705993652344,20.4819242765229,8304.623283290435,41,停利,60.949999999999996,"MACD,EMA Cross,Volume,ADX"
半導體,B_技術+盤勢,2379.TW,2020-04-17,2020-06-17,173.86927795410156,214.60220336914062,23.4273276419724,10565.732256790347,61,停利,56.349999999999994,"MACD,EMA Cross,Volume,ADX"
半導體,B_技術+盤勢,6415.TW,2020-05-15,2020-06-18,352.6686096191406,424.6417541503906,20.408151609800587,8390.67048338848,34,停利,52.324999999999996,"MACD,EMA Cross,Volume,ADX"
半導體,B_技術+盤勢,3034.TW,2020-05-26,2020-07-03,131.97288513183594,165.28334045410156,25.240378195104046,9913.74696527853,38,停利,65.09,"MACD,EMA Cross,Volume,ADX,Stoch RSI"
半導體,B_技術+盤勢,2330.TW,2020-04-07,2020-07-06,252.3463134765625,303.79998779296875,20.390103428709363,9643.567956015075,90,停利,53.4,"MACD,ADX"
半導體,B_技術+盤勢,2379.TW,2020-06-17,2020-07-06,214.60220336914062,264.0097351074219,23.02284457596858,10030.352241505614,19,停利,61.1,"MACD,EMA Cross,Volume,ADX"
半導體,B_技術+盤勢,2454.TW,2020-06-19,2020-07-08,380.3115234375,468.8293151855469,23.275074851260403,9699.629309147444,19,停利,70.85000000000001,"MACD,EMA Cross,Volume,ADX"
半導體,B_技術+盤勢,6415.TW,2020-06-18,2020-07-15,424.6417541503906,419.8435974121094,-1.1299305099851158,-773.0052442076267,27,賣出信號,56.42,"EMA Cross,Volume,ADX,Stoch RSI"
半導體,B_技術+盤勢,2454.TW,2020-07-08,2020-07-16,468.8293151855469,424.85443115234375,-9.379721491135712,-4492.396417419979,8,停損,63.7,"MACD,EMA Cross,Volume,ADX"
半導體,B_技術+盤勢,2303.TW,2020-07-01,2020-07-23,11.569046020507812,14.527776718139648,25.574543418593514,10147.829032651447,22,停利,50.599999999999994,"RSI,EMA Cross,Volume,Stoch RSI,Pullback Support"
半導體,B_技術+盤勢,3711.TW,2020-05-29,2020-07-30,46.47054672241211,56.77226638793945,22.168277311355506,8243.811716649085,62,停利,57.62234667194152,"RSI,Volume,Stoch RSI,Volume Reversal"
半導體,B_技術+盤勢,2303.TW,2020-07-23,2020-08-03,14.527776718139648,17.961612701416016,23.636348836424617,10419.978801954458,11,停利,68.9,"MACD,EMA Cross,Volume,ADX"
半導體,B_技術+盤勢,3034.TW,2020-07-03,2020-08-05,165.28334045410156,199.91873168945312,20.95516168791957,8368.224764187682,33,停利,59.15,"MACD,EMA Cross,Volume,ADX"
