sector,mode,symbol,entry_date,exit_date,entry_price,exit_price,pnl_pct,pnl,hold_days,exit_reason
半導體,baseline,2454.TW,2019-07-30,2019-10-29,226.7241973876953,273.74072265625,20.737321296216592,10030.279324740412,91,停利
半導體,baseline,6415.TW,2019-09-19,2019-11-12,184.9710693359375,230.55409240722656,24.643325702195565,11375.054325268706,54,停利
半導體,baseline,3034.TW,2019-11-22,2019-12-04,150.690185546875,137.04876708984375,-9.052625695246643,-4901.503484050489,12,停損
半導體,baseline,2454.TW,2020-01-15,2020-01-30,289.7611389160156,267.12353515625,-7.81250510142663,-4037.6508836474386,15,賣出信號
半導體,baseline,6415.TW,2020-01-10,2020-03-13,259.10345458984375,230.31419372558594,-11.111106530721758,-5919.57950106365,63,停損
半導體,baseline,2330.TW,2020-03-13,2020-03-18,256.1016845703125,229.60838317871094,-10.344836831531207,-5477.657259722815,5,停損
半導體,baseline,2344.TW,2020-05-27,2020-06-15,12.930519104003906,11.8002290725708,-8.741257967617972,-4648.752894025871,19,停損
半導體,baseline,2454.TW,2020-06-19,2020-07-08,380.3115539550781,468.82928466796875,23.27505693485879,11253.103699519153,19,停利
半導體,baseline,3711.TW,2020-07-02,2020-08-19,54.666805267333984,50.160186767578125,-8.2437934276887,-4161.086810825,48,停損
半導體,baseline,2344.TW,2020-12-01,2020-12-03,18.172176361083984,19.629594802856445,8.020054465757589,3350.2788822516086,2,賣出信號
半導體,baseline,6415.TW,2020-11-05,2020-12-16,513.2144775390625,618.0258178710938,20.422522146026893,9908.254281583337,41,停利
半導體,baseline,6415.TW,2020-12-16,2020-12-23,618.0258178710938,567.42724609375,-8.187129131860551,-4232.716892749428,7,停損
半導體,baseline,3034.TW,2020-11-09,2020-12-29,193.00228881835938,232.19554138183594,20.307143922195962,9357.385931680845,50,停利
半導體,baseline,2344.TW,2021-02-18,2021-03-04,28.69291114807129,25.73253059387207,-10.317463219127603,-5269.503041390395,14,停損
半導體,baseline,2303.TW,2021-01-19,2021-03-05,39.99855041503906,35.508148193359375,-11.226412395163551,-6009.631763388279,45,停損
半導體,baseline,3711.TW,2021-04-26,2021-05-05,91.34107208251953,82.43919372558594,-9.745756376596326,-5198.423858774775,9,停損
半導體,baseline,2330.TW,2021-07-13,2021-08-20,555.822021484375,505.459228515625,-9.060956749113938,-4828.952567776003,38,停損
半導體,baseline,3034.TW,2021-07-27,2021-08-24,343.8470458984375,313.32550048828125,-8.876489059374219,-4499.460406912163,28,停損
半導體,baseline,3711.TW,2021-10-05,2021-10-12,80.41785430908203,74.81661224365234,-6.965172241355249,-3744.9732288022497,7,賣出信號
半導體,baseline,2379.TW,2021-11-30,2022-02-07,442.41748046875,403.357177734375,-8.828833502010328,-4651.498527215641,69,停損
半導體,baseline,2303.TW,2023-01-09,2023-02-01,36.92257308959961,40.863746643066406,10.674157361413554,4959.168952783737,23,賣出信號
半導體,baseline,2344.TW,2023-03-03,2023-05-15,24.34893798828125,22.351566314697266,-8.20311618742997,-4343.755109614947,73,停損
半導體,baseline,2454.TW,2023-06-19,2023-10-30,636.7738037109375,769.7041015625,20.875591470139373,9981.033541746736,133,停利
半導體,baseline,2454.TW,2023-12-15,2024-01-17,894.5452880859375,810.3817138671875,-9.408531389040702,-4967.437523159722,33,停損
半導體,baseline,2303.TW,2024-01-25,2024-02-05,46.53807830810547,42.80079650878906,-8.030589004070436,-4057.6756156046176,11,停損
半導體,baseline,6415.TW,2024-04-10,2024-04-30,350.4740905761719,430.32891845703125,22.784802080399082,10406.205418080644,20,停利
半導體,baseline,3034.TW,2024-01-15,2024-09-18,479.1920471191406,473.3089904785156,-1.2277033135239632,-856.9208613275987,247,賣出信號
半導體,baseline,2303.TW,2024-11-01,2024-12-12,43.77409362792969,39.922725677490234,-8.798281429137623,-4666.631374901379,41,停損
半導體,baseline,6415.TW,2024-12-10,2024-12-13,439.2016906738281,395.82373046875,-9.876546726978026,-4942.233783534153,3,停損
半導體,baseline,2454.TW,2025-01-07,2025-04-07,1433.447998046875,1245.8489990234375,-13.087255294858826,-6733.686759297809,90,停損
半導體,baseline,2344.TW,2025-08-18,2025-09-08,19.000520706176758,24.47187614440918,28.79581840330183,13795.561973524666,21,停利
半導體,baseline,2303.TW,2025-09-24,2025-09-30,44.849998474121094,45.54999923706055,1.560759836688424,482.61817560713826,6,賣出信號
半導體,baseline,2303.TW,2026-01-07,2026-01-08,54.099998474121094,52.79999923706055,-2.402956143672362,-1409.5253760850974,1,賣出信號
半導體,baseline,2454.TW,2025-11-28,2026-01-26,1368.47216796875,1770.0,29.341322493043144,14266.714255204133,59,停利
半導體,regime,2303.TW,2019-07-10,2019-07-25,10.110342979431152,9.736682891845703,-3.6958200957735743,-2025.4694720241241,15,賣出信號
半導體,regime,2344.TW,2019-07-10,2019-07-26,14.341285705566406,17.542102813720703,22.3188992526098,10817.569061708498,16,停利
半導體,regime,2454.TW,2019-07-30,2019-08-01,226.7241973876953,218.7139434814453,-3.5330388192101854,-1965.6276583618528,2,賣出信號
半導體,regime,2344.TW,2019-07-26,2019-08-07,17.542102813720703,16.0953311920166,-8.247424137615344,-4436.631986035514,12,停損
半導體,regime,6415.TW,2019-09-19,2019-11-12,184.9710693359375,230.55409240722656,24.643325702195565,11402.238884475053,54,停利
半導體,regime,3034.TW,2019-08-30,2019-11-22,118.01422119140625,150.690185546875,27.68815827922288,13522.558792853219,84,停利
半導體,regime,2330.TW,2019-10-01,2019-11-26,245.4761505126953,269.1470642089844,9.642856809857326,4077.2136744649906,56,賣出信號
半導體,regime,3711.TW,2019-10-14,2019-11-26,57.74980545043945,58.12578582763672,0.6510504654772037,27.13861359586008,43,賣出信號
半導體,regime,3034.TW,2019-11-22,2019-12-04,150.690185546875,137.04876708984375,-9.052625695246643,-4123.645995945524,12,停損
半導體,regime,3711.TW,2019-12-12,2020-01-06,63.615020751953125,59.17851257324219,-6.973994704819344,-3566.847518030947,25,賣出信號
半導體,regime,2379.TW,2020-01-02,2020-01-07,187.44691467285156,177.64083862304688,-5.231388346358804,-2607.412057886024,5,賣出信號
